"ID","ageFirstCap","season","k","age"
"B2V8633",0,2013,3,2
"B2V8633",0,2014,4,2
"B2V8633",0,2015,5,2
"B2V8633",0,2016,6,2
"B2V8633",0,2017,7,2
"B2V8633",0,2018,8,2
"B2V8633",0,2019,9,2
"B2V8633",0,2020,10,2
"B2V8634",0,2011,1,0
"B2V8634",0,2012,2,1
"B2V8634",0,2013,3,2
"B2V8634",0,2014,4,2
"B2V8634",0,2015,5,2
"B2V8634",0,2016,6,2
"B2V8634",0,2017,7,2
"B2V8634",0,2018,8,2
"B2V8634",0,2019,9,2
"B2V8634",0,2020,10,2
"B2V8635",0,2011,1,0
"B2V8635",0,2012,2,1
"B2V8635",0,2013,3,2
"B2V8635",0,2014,4,2
"B2V8635",0,2015,5,2
"B2V8635",0,2016,6,2
"B2V8635",0,2017,7,2
"B2V8635",0,2018,8,2
"B2V8635",0,2019,9,2
"B2V8635",0,2020,10,2
"B2V8636",0,2011,1,0
"B2V8636",0,2012,2,1
"B2V8636",0,2013,3,2
"B2V8636",0,2014,4,2
"B2V8636",0,2015,5,2
"B2V8636",0,2016,6,2
"B2V8636",0,2017,7,2
"B2V8636",0,2018,8,2
"B2V8636",0,2019,9,2
"B2V8636",0,2020,10,2
"B2V8637",0,2011,1,0
"B2V8637",0,2012,2,1
"B2V8637",0,2013,3,2
"B2V8637",0,2014,4,2
"B2V8637",0,2015,5,2
"B2V8637",0,2016,6,2
"B2V8637",0,2017,7,2
"B2V8637",0,2018,8,2
"B2V8637",0,2019,9,2
"B2V8637",0,2020,10,2
"B2V8638",0,2011,1,0
"B2V8638",0,2012,2,1
"B2V8638",0,2013,3,2
"B2V8638",0,2014,4,2
"B2V8638",0,2015,5,2
"B2V8638",0,2016,6,2
"B2V8638",0,2017,7,2
"B2V8638",0,2018,8,2
"B2V8638",0,2019,9,2
"B2V8638",0,2020,10,2
"B2V8639",0,2011,1,0
"B2V8639",0,2012,2,1
"B2V8639",0,2013,3,2
"B2V8639",0,2014,4,2
"B2V8639",0,2015,5,2
"B2V8639",0,2016,6,2
"B2V8639",0,2017,7,2
"B2V8639",0,2018,8,2
"B2V8639",0,2019,9,2
"B2V8639",0,2020,10,2
"B2V8640",0,2011,1,0
"B2V8640",0,2012,2,1
"B2V8640",0,2013,3,2
"B2V8640",0,2014,4,2
"B2V8640",0,2015,5,2
"B2V8640",0,2016,6,2
"B2V8640",0,2017,7,2
"B2V8640",0,2018,8,2
"B2V8640",0,2019,9,2
"B2V8640",0,2020,10,2
"B2V8641",0,2011,1,0
"B2V8641",0,2012,2,1
"B2V8641",0,2013,3,2
"B2V8641",0,2014,4,2
"B2V8641",0,2015,5,2
"B2V8641",0,2016,6,2
"B2V8641",0,2017,7,2
"B2V8641",0,2018,8,2
"B2V8641",0,2019,9,2
"B2V8641",0,2020,10,2
"B2V8642",0,2011,1,0
"B2V8642",0,2012,2,1
"B2V8642",0,2013,3,2
"B2V8642",0,2014,4,2
"B2V8642",0,2015,5,2
"B2V8642",0,2016,6,2
"B2V8642",0,2017,7,2
"B2V8642",0,2018,8,2
"B2V8642",0,2019,9,2
"B2V8642",0,2020,10,2
"B2V8643",0,2011,1,0
"B2V8643",0,2012,2,1
"B2V8643",0,2013,3,2
"B2V8643",0,2014,4,2
"B2V8643",0,2015,5,2
"B2V8643",0,2016,6,2
"B2V8643",0,2017,7,2
"B2V8643",0,2018,8,2
"B2V8643",0,2019,9,2
"B2V8643",0,2020,10,2
"B2V8644",0,2011,1,0
"B2V8644",0,2012,2,1
"B2V8644",0,2013,3,2
"B2V8644",0,2014,4,2
"B2V8644",0,2015,5,2
"B2V8644",0,2016,6,2
"B2V8644",0,2017,7,2
"B2V8644",0,2018,8,2
"B2V8644",0,2019,9,2
"B2V8644",0,2020,10,2
"B2V8645",0,2011,1,0
"B2V8645",0,2012,2,1
"B2V8645",0,2013,3,2
"B2V8645",0,2014,4,2
"B2V8645",0,2015,5,2
"B2V8645",0,2016,6,2
"B2V8645",0,2017,7,2
"B2V8645",0,2018,8,2
"B2V8645",0,2019,9,2
"B2V8645",0,2020,10,2
"B2V8646",0,2011,1,0
"B2V8646",0,2012,2,1
"B2V8646",0,2013,3,2
"B2V8646",0,2014,4,2
"B2V8646",0,2015,5,2
"B2V8646",0,2016,6,2
"B2V8646",0,2017,7,2
"B2V8646",0,2018,8,2
"B2V8646",0,2019,9,2
"B2V8646",0,2020,10,2
"B2V8647",0,2011,1,0
"B2V8647",0,2012,2,1
"B2V8647",0,2013,3,2
"B2V8647",0,2014,4,2
"B2V8647",0,2015,5,2
"B2V8647",0,2016,6,2
"B2V8647",0,2017,7,2
"B2V8647",0,2018,8,2
"B2V8647",0,2019,9,2
"B2V8647",0,2020,10,2
"B2V8648",0,2011,1,0
"B2V8648",0,2012,2,1
"B2V8648",0,2013,3,2
"B2V8648",0,2014,4,2
"B2V8648",0,2015,5,2
"B2V8648",0,2016,6,2
"B2V8648",0,2017,7,2
"B2V8648",0,2018,8,2
"B2V8648",0,2019,9,2
"B2V8648",0,2020,10,2
"B2V8649",0,2011,1,0
"B2V8649",0,2012,2,1
"B2V8649",0,2013,3,2
"B2V8649",0,2014,4,2
"B2V8649",0,2015,5,2
"B2V8649",0,2016,6,2
"B2V8649",0,2017,7,2
"B2V8649",0,2018,8,2
"B2V8649",0,2019,9,2
"B2V8649",0,2020,10,2
"B2V8650",0,2011,1,0
"B2V8650",0,2012,2,1
"B2V8650",0,2013,3,2
"B2V8650",0,2014,4,2
"B2V8650",0,2015,5,2
"B2V8650",0,2016,6,2
"B2V8650",0,2017,7,2
"B2V8650",0,2018,8,2
"B2V8650",0,2019,9,2
"B2V8650",0,2020,10,2
"B2V8651",0,2011,1,0
"B2V8651",0,2012,2,1
"B2V8651",0,2013,3,2
"B2V8651",0,2014,4,2
"B2V8651",0,2015,5,2
"B2V8651",0,2016,6,2
"B2V8651",0,2017,7,2
"B2V8651",0,2018,8,2
"B2V8651",0,2019,9,2
"B2V8651",0,2020,10,2
"B2V8652",0,2011,1,0
"B2V8652",0,2012,2,1
"B2V8652",0,2013,3,2
"B2V8652",0,2014,4,2
"B2V8652",0,2015,5,2
"B2V8652",0,2016,6,2
"B2V8652",0,2017,7,2
"B2V8652",0,2018,8,2
"B2V8652",0,2019,9,2
"B2V8652",0,2020,10,2
"B2V8653",0,2011,1,0
"B2V8653",0,2012,2,1
"B2V8653",0,2013,3,2
"B2V8653",0,2014,4,2
"B2V8653",0,2015,5,2
"B2V8653",0,2016,6,2
"B2V8653",0,2017,7,2
"B2V8653",0,2018,8,2
"B2V8653",0,2019,9,2
"B2V8653",0,2020,10,2
"B2V8654",0,2011,1,0
"B2V8654",0,2012,2,1
"B2V8654",0,2013,3,2
"B2V8654",0,2014,4,2
"B2V8654",0,2015,5,2
"B2V8654",0,2016,6,2
"B2V8654",0,2017,7,2
"B2V8654",0,2018,8,2
"B2V8654",0,2019,9,2
"B2V8654",0,2020,10,2
"B2V8655",0,2011,1,0
"B2V8655",0,2012,2,1
"B2V8655",0,2013,3,2
"B2V8655",0,2014,4,2
"B2V8655",0,2015,5,2
"B2V8655",0,2016,6,2
"B2V8655",0,2017,7,2
"B2V8655",0,2018,8,2
"B2V8655",0,2019,9,2
"B2V8655",0,2020,10,2
"B2V8656",0,2011,1,0
"B2V8656",0,2012,2,1
"B2V8656",0,2013,3,2
"B2V8656",0,2014,4,2
"B2V8656",0,2015,5,2
"B2V8656",0,2016,6,2
"B2V8656",0,2017,7,2
"B2V8656",0,2018,8,2
"B2V8656",0,2019,9,2
"B2V8656",0,2020,10,2
"B2V8657",0,2011,1,0
"B2V8657",0,2012,2,1
"B2V8657",0,2013,3,2
"B2V8657",0,2014,4,2
"B2V8657",0,2015,5,2
"B2V8657",0,2016,6,2
"B2V8657",0,2017,7,2
"B2V8657",0,2018,8,2
"B2V8657",0,2019,9,2
"B2V8657",0,2020,10,2
"B2V8658",0,2011,1,0
"B2V8658",0,2012,2,1
"B2V8658",0,2013,3,2
"B2V8658",0,2014,4,2
"B2V8658",0,2015,5,2
"B2V8658",0,2016,6,2
"B2V8658",0,2017,7,2
"B2V8658",0,2018,8,2
"B2V8658",0,2019,9,2
"B2V8658",0,2020,10,2
"B2V8659",0,2011,1,0
"B2V8659",0,2012,2,1
"B2V8659",0,2013,3,2
"B2V8659",0,2014,4,2
"B2V8659",0,2015,5,2
"B2V8659",0,2016,6,2
"B2V8659",0,2017,7,2
"B2V8659",0,2018,8,2
"B2V8659",0,2019,9,2
"B2V8659",0,2020,10,2
"B2V8660",0,2011,1,0
"B2V8660",0,2012,2,1
"B2V8660",0,2013,3,2
"B2V8660",0,2014,4,2
"B2V8660",0,2015,5,2
"B2V8660",0,2016,6,2
"B2V8660",0,2017,7,2
"B2V8660",0,2018,8,2
"B2V8660",0,2019,9,2
"B2V8660",0,2020,10,2
"B2V8661",0,2011,1,0
"B2V8661",0,2012,2,1
"B2V8661",0,2013,3,2
"B2V8661",0,2014,4,2
"B2V8661",0,2015,5,2
"B2V8661",0,2016,6,2
"B2V8661",0,2017,7,2
"B2V8661",0,2018,8,2
"B2V8661",0,2019,9,2
"B2V8661",0,2020,10,2
"B2V8662",0,2011,1,0
"B2V8662",0,2012,2,1
"B2V8662",0,2013,3,2
"B2V8662",0,2014,4,2
"B2V8662",0,2015,5,2
"B2V8662",0,2016,6,2
"B2V8662",0,2017,7,2
"B2V8662",0,2018,8,2
